long,lat,order,hole,piece,group,id,abb_gpo,name,type
260.692194,-150,5,FALSE,1,WV.1,WV,W. Va.,West Virginia,state
260.692194,-130,6,FALSE,1,WV.1,WV,W. Va.,West Virginia,state
278.012702,-120,7,FALSE,1,WV.1,WV,W. Va.,West Virginia,state
208.73067,-60,1,FALSE,1,WI.1,WI,Wis.,Wisconsin,state
226.051178,-70,2,FALSE,1,WI.1,WI,Wis.,Wisconsin,state
226.051178,-90,3,FALSE,1,WI.1,WI,Wis.,Wisconsin,state
208.73067,-100,4,FALSE,1,WI.1,WI,Wis.,Wisconsin,state
191.410162,-90,5,FALSE,1,WI.1,WI,Wis.,Wisconsin,state
191.410162,-70,6,FALSE,1,WI.1,WI,Wis.,Wisconsin,state
208.73067,-60,7,FALSE,1,WI.1,WI,Wis.,Wisconsin,state
122.128129,-90,1,FALSE,1,WY.1,WY,Wyo.,Wyoming,state
139.448637,-100,2,FALSE,1,WY.1,WY,Wyo.,Wyoming,state
139.448637,-120,3,FALSE,1,WY.1,WY,Wyo.,Wyoming,state
122.128129,-130,4,FALSE,1,WY.1,WY,Wyo.,Wyoming,state
104.807621,-120,5,FALSE,1,WY.1,WY,Wyo.,Wyoming,state
104.807621,-100,6,FALSE,1,WY.1,WY,Wyo.,Wyoming,state
122.128129,-90,7,FALSE,1,WY.1,WY,Wyo.,Wyoming,state
