hexmap,abbr_usps,abbr_gpo,abbr_ap,abbr_short,abbr_long,name,fips,geo_type,X,Y,cX,cY
usa52,KY,Ky.,Ky.,Ky.,Kent.,Kentucky,21,state,243.371686,-160,243.371686,-140.00000000000003
usa52,KY,Ky.,Ky.,Ky.,Kent.,Kentucky,21,state,226.051178,-150,243.371686,-140.00000000000003
usa52,KY,Ky.,Ky.,Ky.,Kent.,Kentucky,21,state,226.051178,-130,243.371686,-140.00000000000003
usa52,KY,Ky.,Ky.,Ky.,Kent.,Kentucky,21,state,243.371686,-120,243.371686,-140.00000000000003
usa52,LA,La.,La.,La.,Louis.,Louisiana,22,state,208.73067,-180,208.73067,-200.00000000000003
usa52,LA,La.,La.,La.,Louis.,Louisiana,22,state,226.051178,-190,208.73067,-200.00000000000003
usa52,LA,La.,La.,La.,Louis.,Louisiana,22,state,226.051178,-210,208.73067,-200.00000000000003
usa52,LA,La.,La.,La.,Louis.,Louisiana,22,state,208.73067,-220,208.73067,-200.00000000000003
usa52,LA,La.,La.,La.,Louis.,Louisiana,22,state,191.410162,-210,208.73067,-200.00000000000003
usa52,LA,La.,La.,La.,Louis.,Louisiana,22,state,191.410162,-190,208.73067,-200.00000000000003
usa52,LA,La.,La.,La.,Louis.,Louisiana,22,state,208.73067,-180,208.73067,-200.00000000000003
usa52,ME,Maine,Maine,Me.,Maine,Maine,23,state,416.576766,0,416.5767664444444,-19.999999999999996
usa52,ME,Maine,Maine,Me.,Maine,Maine,23,state,433.897275,-10,416.5767664444444,-19.999999999999996
usa52,ME,Maine,Maine,Me.,Maine,Maine,23,state,433.897275,-30,416.5767664444444,-19.999999999999996
usa52,ME,Maine,Maine,Me.,Maine,Maine,23,state,416.576766,-40,416.5767664444444,-19.999999999999996
usa52,ME,Maine,Maine,Me.,Maine,Maine,23,state,399.256258,-30,416.5767664444444,-19.999999999999996
usa52,ME,Maine,Maine,Me.,Maine,Maine,23,state,399.256258,-10,416.5767664444444,-19.999999999999996
usa52,ME,Maine,Maine,Me.,Maine,Maine,23,state,416.576766,0,416.5767664444444,-19.999999999999996
usa52,MD,Md.,Md.,Md.,Mary.,Maryland,24,state,347.294734,-120,347.29473399999995,-140
usa52,MD,Md.,Md.,Md.,Mary.,Maryland,24,state,364.615242,-130,347.29473399999995,-140
usa52,MD,Md.,Md.,Md.,Mary.,Maryland,24,state,364.615242,-150,347.29473399999995,-140
usa52,MD,Md.,Md.,Md.,Mary.,Maryland,24,state,347.294734,-160,347.29473399999995,-140
usa52,MD,Md.,Md.,Md.,Mary.,Maryland,24,state,329.974226,-150,347.29473399999995,-140
usa52,MD,Md.,Md.,Md.,Mary.,Maryland,24,state,329.974226,-130,347.29473399999995,-140
usa52,MD,Md.,Md.,Md.,Mary.,Maryland,24,state,347.294734,-120,347.29473399999995,-140
usa52,MA,Mass.,Mass.,Mas.,Mass.,Massachusetts,25,state,381.93575,-60,381.93575000000004,-80.00000000000001
usa52,MA,Mass.,Mass.,Mas.,Mass.,Massachusetts,25,state,399.256258,-70,381.93575000000004,-80.00000000000001
usa52,MA,Mass.,Mass.,Mas.,Mass.,Massachusetts,25,state,399.256258,-90,381.93575000000004,-80.00000000000001
usa52,MA,Mass.,Mass.,Mas.,Mass.,Massachusetts,25,state,381.93575,-100,381.93575000000004,-80.00000000000001
usa52,MA,Mass.,Mass.,Mas.,Mass.,Massachusetts,25,state,364.615242,-90,381.93575000000004,-80.00000000000001
usa52,MA,Mass.,Mass.,Mas.,Mass.,Massachusetts,25,state,364.615242,-70,381.93575000000004,-80.00000000000001
usa52,MA,Mass.,Mass.,Mas.,Mass.,Massachusetts,25,state,381.93575,-60,381.93575000000004,-80.00000000000001
usa52,MI,Mich.,Mich.,Mic.,Mich.,Michigan,26,state,278.012702,-60,278.012702,-80.00000000000001
usa52,MI,Mich.,Mich.,Mic.,Mich.,Michigan,26,state,295.33321,-70,278.012702,-80.00000000000001
usa52,MI,Mich.,Mich.,Mic.,Mich.,Michigan,26,state,295.33321,-90,278.012702,-80.00000000000001
usa52,MI,Mich.,Mich.,Mic.,Mich.,Michigan,26,state,278.012702,-100,278.012702,-80.00000000000001
usa52,MI,Mich.,Mich.,Mic.,Mich.,Michigan,26,state,260.692194,-90,278.012702,-80.00000000000001
usa52,MI,Mich.,Mich.,Mic.,Mich.,Michigan,26,state,260.692194,-70,278.012702,-80.00000000000001
usa52,MI,Mich.,Mich.,Mic.,Mich.,Michigan,26,state,278.012702,-60,278.012702,-80.00000000000001
usa52,MN,Minn.,Minn.,Min.,Minn.,Minnesota,27,state,174.089653,-60,174.08965344444448,-80
usa52,MN,Minn.,Minn.,Min.,Minn.,Minnesota,27,state,191.410162,-70,174.08965344444448,-80
usa52,MN,Minn.,Minn.,Min.,Minn.,Minnesota,27,state,191.410162,-90,174.08965344444448,-80
usa52,MN,Minn.,Minn.,Min.,Minn.,Minnesota,27,state,174.089653,-100,174.08965344444448,-80
usa52,MN,Minn.,Minn.,Min.,Minn.,Minnesota,27,state,156.769145,-90,174.08965344444448,-80
usa52,MN,Minn.,Minn.,Min.,Minn.,Minnesota,27,state,156.769145,-70,174.08965344444448,-80
usa52,MN,Minn.,Minn.,Min.,Minn.,Minnesota,27,state,174.089653,-60,174.08965344444448,-80
usa52,MS,Miss.,Miss.,Mis.,Miss.,Mississippi,28,state,243.371686,-180,243.371686,-200.00000000000003
usa52,MS,Miss.,Miss.,Mis.,Miss.,Mississippi,28,state,260.692194,-190,243.371686,-200.00000000000003
usa52,MS,Miss.,Miss.,Mis.,Miss.,Mississippi,28,state,260.692194,-210,243.371686,-200.00000000000003
usa52,MS,Miss.,Miss.,Mis.,Miss.,Mississippi,28,state,243.371686,-220,243.371686,-200.00000000000003
usa52,MS,Miss.,Miss.,Mis.,Miss.,Mississippi,28,state,226.051178,-210,243.371686,-200.00000000000003
usa52,MS,Miss.,Miss.,Mis.,Miss.,Mississippi,28,state,226.051178,-190,243.371686,-200.00000000000003
usa52,MS,Miss.,Miss.,Mis.,Miss.,Mississippi,28,state,243.371686,-180,243.371686,-200.00000000000003
usa52,MO,Mo.,Mo.,Mo.,Mouri.,Missouri,29,state,208.73067,-120,208.73067,-140.00000000000003
usa52,MO,Mo.,Mo.,Mo.,Mouri.,Missouri,29,state,226.051178,-130,208.73067,-140.00000000000003
usa52,MO,Mo.,Mo.,Mo.,Mouri.,Missouri,29,state,226.051178,-150,208.73067,-140.00000000000003
usa52,MO,Mo.,Mo.,Mo.,Mouri.,Missouri,29,state,208.73067,-160,208.73067,-140.00000000000003
usa52,MO,Mo.,Mo.,Mo.,Mouri.,Missouri,29,state,191.410162,-150,208.73067,-140.00000000000003
usa52,MO,Mo.,Mo.,Mo.,Mouri.,Missouri,29,state,191.410162,-130,208.73067,-140.00000000000003
usa52,MO,Mo.,Mo.,Mo.,Mouri.,Missouri,29,state,208.73067,-120,208.73067,-140.00000000000003
usa52,MT,Mont.,Mont.,Mnt.,Mont.,Montana,30,state,104.807621,-60,104.80762104444442,-80
usa52,MT,Mont.,Mont.,Mnt.,Mont.,Montana,30,state,122.128129,-70,104.80762104444442,-80
usa52,MT,Mont.,Mont.,Mnt.,Mont.,Montana,30,state,122.128129,-90,104.80762104444442,-80
usa52,MT,Mont.,Mont.,Mnt.,Mont.,Montana,30,state,104.807621,-100,104.80762104444442,-80
usa52,MT,Mont.,Mont.,Mnt.,Mont.,Montana,30,state,87.4871131,-90,104.80762104444442,-80
usa52,MT,Mont.,Mont.,Mnt.,Mont.,Montana,30,state,87.4871131,-70,104.80762104444442,-80
usa52,MT,Mont.,Mont.,Mnt.,Mont.,Montana,30,state,104.807621,-60,104.80762104444442,-80
usa52,NE,Nebr.,Neb.,Neb.,Nebr.,Nebraska,31,state,174.089653,-120,174.08965344444448,-140
usa52,NE,Nebr.,Neb.,Neb.,Nebr.,Nebraska,31,state,191.410162,-130,174.08965344444448,-140
usa52,NE,Nebr.,Neb.,Neb.,Nebr.,Nebraska,31,state,191.410162,-150,174.08965344444448,-140
usa52,NE,Nebr.,Neb.,Neb.,Nebr.,Nebraska,31,state,174.089653,-160,174.08965344444448,-140
usa52,NE,Nebr.,Neb.,Neb.,Nebr.,Nebraska,31,state,156.769145,-150,174.08965344444448,-140
usa52,NE,Nebr.,Neb.,Neb.,Nebr.,Nebraska,31,state,156.769145,-130,174.08965344444448,-140
usa52,NE,Nebr.,Neb.,Neb.,Nebr.,Nebraska,31,state,174.089653,-120,174.08965344444448,-140
usa52,NV,Nev.,Nev.,Nev.,Nevada,Nevada,32,state,104.807621,-120,104.80762104444442,-139.99999999999997
usa52,NV,Nev.,Nev.,Nev.,Nevada,Nevada,32,state,122.128129,-130,104.80762104444442,-139.99999999999997
usa52,NV,Nev.,Nev.,Nev.,Nevada,Nevada,32,state,122.128129,-150,104.80762104444442,-139.99999999999997
usa52,NV,Nev.,Nev.,Nev.,Nevada,Nevada,32,state,104.807621,-160,104.80762104444442,-139.99999999999997
usa52,NV,Nev.,Nev.,Nev.,Nevada,Nevada,32,state,87.4871131,-150,104.80762104444442,-139.99999999999997
usa52,NV,Nev.,Nev.,Nev.,Nevada,Nevada,32,state,87.4871131,-130,104.80762104444442,-139.99999999999997
usa52,NV,Nev.,Nev.,Nev.,Nevada,Nevada,32,state,104.807621,-120,104.80762104444442,-139.99999999999997
usa52,NH,N.H.,N.H.,N.H.,N.Ham.,New Hampshire,33,state,399.256258,-30,399.256258,-50
usa52,NH,N.H.,N.H.,N.H.,N.Ham.,New Hampshire,33,state,416.576766,-40,399.256258,-50
usa52,NH,N.H.,N.H.,N.H.,N.Ham.,New Hampshire,33,state,416.576766,-60,399.256258,-50
usa52,NH,N.H.,N.H.,N.H.,N.Ham.,New Hampshire,33,state,399.256258,-70,399.256258,-50
usa52,NH,N.H.,N.H.,N.H.,N.Ham.,New Hampshire,33,state,381.93575,-60,399.256258,-50
usa52,NH,N.H.,N.H.,N.H.,N.Ham.,New Hampshire,33,state,381.93575,-40,399.256258,-50
usa52,NH,N.H.,N.H.,N.H.,N.Ham.,New Hampshire,33,state,399.256258,-30,399.256258,-50
usa52,NJ,N.J.,N.J.,N.J.,N.Jer.,New Jersey,34,state,364.615242,-90,364.615242,-110.00000000000001
usa52,NJ,N.J.,N.J.,N.J.,N.Jer.,New Jersey,34,state,381.93575,-100,364.615242,-110.00000000000001
usa52,NJ,N.J.,N.J.,N.J.,N.Jer.,New Jersey,34,state,381.93575,-120,364.615242,-110.00000000000001
usa52,NJ,N.J.,N.J.,N.J.,N.Jer.,New Jersey,34,state,364.615242,-130,364.615242,-110.00000000000001
usa52,NJ,N.J.,N.J.,N.J.,N.Jer.,New Jersey,34,state,347.294734,-120,364.615242,-110.00000000000001
usa52,NJ,N.J.,N.J.,N.J.,N.Jer.,New Jersey,34,state,347.294734,-100,364.615242,-110.00000000000001
usa52,NJ,N.J.,N.J.,N.J.,N.Jer.,New Jersey,34,state,364.615242,-90,364.615242,-110.00000000000001
usa52,NM,N. Mex.,N.M.,N.M.,N.Mex.,New Mexico,35,state,156.769145,-150,156.769145,-170
usa52,NM,N. Mex.,N.M.,N.M.,N.Mex.,New Mexico,35,state,174.089653,-160,156.769145,-170
usa52,NM,N. Mex.,N.M.,N.M.,N.Mex.,New Mexico,35,state,174.089653,-180,156.769145,-170
usa52,NM,N. Mex.,N.M.,N.M.,N.Mex.,New Mexico,35,state,156.769145,-190,156.769145,-170
usa52,NM,N. Mex.,N.M.,N.M.,N.Mex.,New Mexico,35,state,139.448637,-180,156.769145,-170
usa52,NM,N. Mex.,N.M.,N.M.,N.Mex.,New Mexico,35,state,139.448637,-160,156.769145,-170
usa52,NM,N. Mex.,N.M.,N.M.,N.Mex.,New Mexico,35,state,156.769145,-150,156.769145,-170
usa52,NY,N.Y.,N.Y.,N.Y.,N.York,New York,36,state,347.294734,-60,347.29473399999995,-80.00000000000001
usa52,NY,N.Y.,N.Y.,N.Y.,N.York,New York,36,state,364.615242,-70,347.29473399999995,-80.00000000000001
usa52,NY,N.Y.,N.Y.,N.Y.,N.York,New York,36,state,364.615242,-90,347.29473399999995,-80.00000000000001
usa52,NY,N.Y.,N.Y.,N.Y.,N.York,New York,36,state,347.294734,-100,347.29473399999995,-80.00000000000001
usa52,NY,N.Y.,N.Y.,N.Y.,N.York,New York,36,state,329.974226,-90,347.29473399999995,-80.00000000000001
usa52,NY,N.Y.,N.Y.,N.Y.,N.York,New York,36,state,329.974226,-70,347.29473399999995,-80.00000000000001
usa52,NY,N.Y.,N.Y.,N.Y.,N.York,New York,36,state,347.294734,-60,347.29473399999995,-80.00000000000001
usa52,NC,N.C.,N.C.,N.C.,N.Car.,North Carolina,37,state,295.33321,-150,295.33321,-169.99999999999997
usa52,NC,N.C.,N.C.,N.C.,N.Car.,North Carolina,37,state,312.653718,-160,295.33321,-169.99999999999997
usa52,NC,N.C.,N.C.,N.C.,N.Car.,North Carolina,37,state,312.653718,-180,295.33321,-169.99999999999997
usa52,NC,N.C.,N.C.,N.C.,N.Car.,North Carolina,37,state,295.33321,-190,295.33321,-169.99999999999997
usa52,NC,N.C.,N.C.,N.C.,N.Car.,North Carolina,37,state,278.012702,-180,295.33321,-169.99999999999997
usa52,NC,N.C.,N.C.,N.C.,N.Car.,North Carolina,37,state,278.012702,-160,295.33321,-169.99999999999997
