hexmap,abbr_usps,abbr_gpo,abbr_ap,abbr_short,abbr_long,name,fips,eta_region,geo_type,eta_region_name,eta_region_city,X,Y,cX,cY
usaETA,MS,Miss.,Miss.,Mis.,Miss.,Mississippi,28,3,state,Region 3,Atlanta,226.051178,-190,243.371686,-200.00000000000003
usaETA,MS,Miss.,Miss.,Mis.,Miss.,Mississippi,28,3,state,Region 3,Atlanta,243.371686,-180,243.371686,-200.00000000000003
usaETA,MO,Mo.,Mo.,Mo.,Mouri.,Missouri,29,5,state,Region 5,Chicago,208.73067,-120,208.73067,-140.00000000000003
usaETA,MO,Mo.,Mo.,Mo.,Mouri.,Missouri,29,5,state,Region 5,Chicago,226.051178,-130,208.73067,-140.00000000000003
usaETA,MO,Mo.,Mo.,Mo.,Mouri.,Missouri,29,5,state,Region 5,Chicago,226.051178,-150,208.73067,-140.00000000000003
usaETA,MO,Mo.,Mo.,Mo.,Mouri.,Missouri,29,5,state,Region 5,Chicago,208.73067,-160,208.73067,-140.00000000000003
usaETA,MO,Mo.,Mo.,Mo.,Mouri.,Missouri,29,5,state,Region 5,Chicago,191.410162,-150,208.73067,-140.00000000000003
usaETA,MO,Mo.,Mo.,Mo.,Mouri.,Missouri,29,5,state,Region 5,Chicago,191.410162,-130,208.73067,-140.00000000000003
usaETA,MO,Mo.,Mo.,Mo.,Mouri.,Missouri,29,5,state,Region 5,Chicago,208.73067,-120,208.73067,-140.00000000000003
usaETA,MT,Mont.,Mont.,Mnt.,Mont.,Montana,30,4,state,Region 4,Dallas,104.807621,-60,104.80762104444442,-80
usaETA,MT,Mont.,Mont.,Mnt.,Mont.,Montana,30,4,state,Region 4,Dallas,122.128129,-70,104.80762104444442,-80
usaETA,MT,Mont.,Mont.,Mnt.,Mont.,Montana,30,4,state,Region 4,Dallas,122.128129,-90,104.80762104444442,-80
usaETA,MT,Mont.,Mont.,Mnt.,Mont.,Montana,30,4,state,Region 4,Dallas,104.807621,-100,104.80762104444442,-80
usaETA,MT,Mont.,Mont.,Mnt.,Mont.,Montana,30,4,state,Region 4,Dallas,87.4871131,-90,104.80762104444442,-80
usaETA,MT,Mont.,Mont.,Mnt.,Mont.,Montana,30,4,state,Region 4,Dallas,87.4871131,-70,104.80762104444442,-80
usaETA,MT,Mont.,Mont.,Mnt.,Mont.,Montana,30,4,state,Region 4,Dallas,104.807621,-60,104.80762104444442,-80
usaETA,NE,Nebr.,Neb.,Neb.,Nebr.,Nebraska,31,5,state,Region 5,Chicago,174.089653,-120,174.08965344444448,-140
usaETA,NE,Nebr.,Neb.,Neb.,Nebr.,Nebraska,31,5,state,Region 5,Chicago,191.410162,-130,174.08965344444448,-140
usaETA,NE,Nebr.,Neb.,Neb.,Nebr.,Nebraska,31,5,state,Region 5,Chicago,191.410162,-150,174.08965344444448,-140
usaETA,NE,Nebr.,Neb.,Neb.,Nebr.,Nebraska,31,5,state,Region 5,Chicago,174.089653,-160,174.08965344444448,-140
usaETA,NE,Nebr.,Neb.,Neb.,Nebr.,Nebraska,31,5,state,Region 5,Chicago,156.769145,-150,174.08965344444448,-140
usaETA,NE,Nebr.,Neb.,Neb.,Nebr.,Nebraska,31,5,state,Region 5,Chicago,156.769145,-130,174.08965344444448,-140
usaETA,NE,Nebr.,Neb.,Neb.,Nebr.,Nebraska,31,5,state,Region 5,Chicago,174.089653,-120,174.08965344444448,-140
