id,abb_usps,abb_gpo,name,fips,eta_region,type,eta_region_name,eta_region_city,X,Y
24,MN,Minn.,Minnesota,27,5,state,Region 5,Chicago,156.769145,-90
24,MN,Minn.,Minnesota,27,5,state,Region 5,Chicago,156.769145,-70
24,MN,Minn.,Minnesota,27,5,state,Region 5,Chicago,174.089653,-60
25,MS,Miss.,Mississippi,28,3,state,Region 3,Atlanta,243.371686,-180
25,MS,Miss.,Mississippi,28,3,state,Region 3,Atlanta,260.692194,-190
25,MS,Miss.,Mississippi,28,3,state,Region 3,Atlanta,260.692194,-210
25,MS,Miss.,Mississippi,28,3,state,Region 3,Atlanta,243.371686,-220
25,MS,Miss.,Mississippi,28,3,state,Region 3,Atlanta,226.051178,-210
25,MS,Miss.,Mississippi,28,3,state,Region 3,Atlanta,226.051178,-190
25,MS,Miss.,Mississippi,28,3,state,Region 3,Atlanta,243.371686,-180
26,MO,Mo.,Missouri,29,5,state,Region 5,Chicago,208.73067,-120
26,MO,Mo.,Missouri,29,5,state,Region 5,Chicago,226.051178,-130
26,MO,Mo.,Missouri,29,5,state,Region 5,Chicago,226.051178,-150
26,MO,Mo.,Missouri,29,5,state,Region 5,Chicago,208.73067,-160
26,MO,Mo.,Missouri,29,5,state,Region 5,Chicago,191.410162,-150
26,MO,Mo.,Missouri,29,5,state,Region 5,Chicago,191.410162,-130
26,MO,Mo.,Missouri,29,5,state,Region 5,Chicago,208.73067,-120
27,MT,Mont.,Montana,30,4,state,Region 4,Dallas,104.807621,-60
27,MT,Mont.,Montana,30,4,state,Region 4,Dallas,122.128129,-70
27,MT,Mont.,Montana,30,4,state,Region 4,Dallas,122.128129,-90
27,MT,Mont.,Montana,30,4,state,Region 4,Dallas,104.807621,-100
27,MT,Mont.,Montana,30,4,state,Region 4,Dallas,87.4871131,-90
27,MT,Mont.,Montana,30,4,state,Region 4,Dallas,87.4871131,-70
27,MT,Mont.,Montana,30,4,state,Region 4,Dallas,104.807621,-60
28,NE,Nebr.,Nebraska,31,5,state,Region 5,Chicago,174.089653,-120
28,NE,Nebr.,Nebraska,31,5,state,Region 5,Chicago,191.410162,-130
28,NE,Nebr.,Nebraska,31,5,state,Region 5,Chicago,191.410162,-150
28,NE,Nebr.,Nebraska,31,5,state,Region 5,Chicago,174.089653,-160
28,NE,Nebr.,Nebraska,31,5,state,Region 5,Chicago,156.769145,-150
28,NE,Nebr.,Nebraska,31,5,state,Region 5,Chicago,156.769145,-130
28,NE,Nebr.,Nebraska,31,5,state,Region 5,Chicago,174.089653,-120
29,NV,Nev.,Nevada,32,6,state,Region 6,San Francisco,104.807621,-120
29,NV,Nev.,Nevada,32,6,state,Region 6,San Francisco,122.128129,-130
29,NV,Nev.,Nevada,32,6,state,Region 6,San Francisco,122.128129,-150
29,NV,Nev.,Nevada,32,6,state,Region 6,San Francisco,104.807621,-160
29,NV,Nev.,Nevada,32,6,state,Region 6,San Francisco,87.4871131,-150
29,NV,Nev.,Nevada,32,6,state,Region 6,San Francisco,87.4871131,-130
29,NV,Nev.,Nevada,32,6,state,Region 6,San Francisco,104.807621,-120
30,NH,N.H.,New Hampshire,33,1,state,Region 1,Boston,399.256258,-30
30,NH,N.H.,New Hampshire,33,1,state,Region 1,Boston,416.576766,-40
30,NH,N.H.,New Hampshire,33,1,state,Region 1,Boston,416.576766,-60
30,NH,N.H.,New Hampshire,33,1,state,Region 1,Boston,399.256258,-70
30,NH,N.H.,New Hampshire,33,1,state,Region 1,Boston,381.93575,-60
30,NH,N.H.,New Hampshire,33,1,state,Region 1,Boston,381.93575,-40
30,NH,N.H.,New Hampshire,33,1,state,Region 1,Boston,399.256258,-30
31,NJ,N.J.,New Jersey,34,1,state,Region 1,Boston,364.615242,-90
31,NJ,N.J.,New Jersey,34,1,state,Region 1,Boston,381.93575,-100
31,NJ,N.J.,New Jersey,34,1,state,Region 1,Boston,381.93575,-120
31,NJ,N.J.,New Jersey,34,1,state,Region 1,Boston,364.615242,-130
31,NJ,N.J.,New Jersey,34,1,state,Region 1,Boston,347.294734,-120
31,NJ,N.J.,New Jersey,34,1,state,Region 1,Boston,347.294734,-100
31,NJ,N.J.,New Jersey,34,1,state,Region 1,Boston,364.615242,-90
32,NM,N. Mex.,New Mexico,35,4,state,Region 4,Dallas,156.769145,-150
32,NM,N. Mex.,New Mexico,35,4,state,Region 4,Dallas,174.089653,-160
32,NM,N. Mex.,New Mexico,35,4,state,Region 4,Dallas,174.089653,-180
32,NM,N. Mex.,New Mexico,35,4,state,Region 4,Dallas,156.769145,-190
32,NM,N. Mex.,New Mexico,35,4,state,Region 4,Dallas,139.448637,-180
32,NM,N. Mex.,New Mexico,35,4,state,Region 4,Dallas,139.448637,-160
32,NM,N. Mex.,New Mexico,35,4,state,Region 4,Dallas,156.769145,-150
33,NY,N.Y.,New York,36,1,state,Region 1,Boston,347.294734,-60
33,NY,N.Y.,New York,36,1,state,Region 1,Boston,364.615242,-70
33,NY,N.Y.,New York,36,1,state,Region 1,Boston,364.615242,-90
33,NY,N.Y.,New York,36,1,state,Region 1,Boston,347.294734,-100
33,NY,N.Y.,New York,36,1,state,Region 1,Boston,329.974226,-90
33,NY,N.Y.,New York,36,1,state,Region 1,Boston,329.974226,-70
33,NY,N.Y.,New York,36,1,state,Region 1,Boston,347.294734,-60
34,NC,N.C.,North Carolina,37,3,state,Region 3,Atlanta,295.33321,-150
34,NC,N.C.,North Carolina,37,3,state,Region 3,Atlanta,312.653718,-160
34,NC,N.C.,North Carolina,37,3,state,Region 3,Atlanta,312.653718,-180
34,NC,N.C.,North Carolina,37,3,state,Region 3,Atlanta,295.33321,-190
34,NC,N.C.,North Carolina,37,3,state,Region 3,Atlanta,278.012702,-180
34,NC,N.C.,North Carolina,37,3,state,Region 3,Atlanta,278.012702,-160
